X,Y,FID,PERMITID,TYPE,DECISION,LIQUOR_TYP,ISSUEDATE,EXPIRE_YEA,EXPIRE_DAT,ESTABLISHM,ESTABLIS_1,ESTABLIS_2,ESTABLIS_3,ESTABLIS_4,TYPE_DESCR,LastUpdate,WGS_X,WGS_Y,APN
-93.25446361,44.98449741,1,1063174,L192,APPROVED,ON Sale,10/31/2014,2015,4/1/2015,135845,VICS RESTAURANT,201 Main St SE,NULL,SE,LIQ ON-SALE C-2 W/SS SERIES 2000,57:19.9,-10381039.4,5619081.251,2.30E+12
-93.2573557,44.98587161,2,1534252,L235,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,169444,WILDE ROAST CAFE,65 Main St SE 143,143,SE,LIQ ON-SALE C-1 W/SS SERIES 2000,57:05.8,-10381361.35,5619297.535,2.30E+12
-93.25384121,44.98472068,3,563846,L196,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,121439,TUGGS ON THE RIVER,219 Main St SE,NULL,SE,LIQ ON-SALE E W/SS SERIES 2000,57:05.8,-10380970.12,5619116.39,2.30E+12
-93.25384121,44.98472068,4,563846,L196,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,130405,TUGGS ON THE RIVER,219 Main St SE,NULL,SE,LIQ ON-SALE E W/SS SERIES 2000,57:05.8,-10380970.12,5619116.39,2.30E+12
-93.25671714,44.98748894,5,1211800,L247,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,147045,PUNCH NEAPOLITAN PIZZA,208 Hennepin Ave E,NULL,E,WINE E W/STRONG BEER,57:05.8,-10381290.27,5619552.091,2.30E+12
-93.25671714,44.98748894,6,1345664,L186,PENDING,ON Sale,1/23/2014,2016,1/1/2016,146434,RACHELS,222 Hennepin Ave E,NULL,E,LIQ ON-SALE E W/SS SERIES 1000,02:50.6,-10381290.27,5619552.091,2.30E+12
-93.25671714,44.98748894,7,1345664,L186,PENDING,ON Sale,1/23/2014,2016,1/1/2016,167256,RACHELS,222 Hennepin Ave E,NULL,E,LIQ ON-SALE E W/SS SERIES 1000,02:50.6,-10381290.27,5619552.091,2.30E+12
-93.25768602,44.98780604,8,1370674,L180,PENDING,ON Sale,1/23/2014,2016,1/1/2016,165406,GINGER HOP REST. & HONEY AT GINGER HOP,201 Hennepin Ave E,NULL,E,LIQ ON-SALE B W/SS SERIES 1000,56:49.0,-10381398.12,5619602.001,2.30E+12
-93.26121171,44.99068572,9,1119575,L210,APPROVED,ON Sale,10/3/2014,2015,10/1/2015,130691,UKRAINIAN AMERICAN COMMUNITY CENTER,301 Main St NE,NULL,NE,LIQ ON-SALE B W/SS SERIES 4000,57:40.9,-10381790.6,5620055.262,2.30E+12
-93.25771422,44.98852129,10,1621547,L247,APPROVED,ON Sale,5/23/2014,2015,4/1/2015,173008,JL BEERS,24 University Ave NE,NULL,NE,WINE E W/STRONG BEER,56:21.5,-10381401.26,5619714.58,2.30E+12
-93.26747711,44.98471386,11,563616,L186,PENDING,ON Sale,4/25/2014,2016,1/1/2016,130181,ORIGAMI,30 1st St N 1ST FLOOR,1ST FLOOR,N,LIQ ON-SALE E W/SS SERIES 1000,03:31.9,-10382488.06,5619115.317,2.30E+12
-93.26084343,44.9859742,12,1501209,L210,APPROVED,ON Sale,10/3/2014,2015,10/1/2015,124537,NICOLLET ISLAND INN,95 Merriam St,NULL,NULL,LIQ ON-SALE B W/SS SERIES 4000,57:40.9,-10381749.6,5619313.681,2.30E+12
-93.25792251,44.98615078,13,1638698,L190,APPROVED,ON Sale,4/11/2014,2015,4/1/2015,173583,MATTIES ON MAIN,43 Main St SE,144,SE,LIQ ON-SALE B W/SS SERIES 2000,57:03.0,-10381424.45,5619341.473,2.30E+12
-93.25798316,44.98710939,14,563584,L180,PENDING,ON Sale,1/23/2014,2016,1/1/2016,130149,NYES POLONAISE ROOM,112 Hennepin Ave E,NULL,E,LIQ ON-SALE B W/SS SERIES 1000,03:05.5,-10381431.2,5619492.352,2.30E+12
-93.26441549,44.97905325,15,563497,L178,PENDING,ON Sale,1/23/2014,2016,1/1/2016,130063,RICKS CABARET,300 3rd St S,NULL,S,LIQ ON-SALE A W/SS SERIES 1000,02:53.4,-10382147.24,5618224.452,2.30E+12
-93.26683454,44.97814334,16,1593655,L188,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,172628,HOTEL MINNEAPOLIS,215 4th St S,NULL,S,LIQ ON-SALE A W/SS SERIES 2000,57:05.8,-10382416.53,5618081.258,2.30E+12
-93.26294226,44.97757942,17,1622451,L216,APPROVED,ON Sale,10/3/2014,2015,10/1/2015,173315,DINOKOS BARZIA,420 4th St S,NULL,S,LIQ ON-SALE E W/SS SERIES 4000,57:40.9,-10381983.24,5617992.514,2.30E+12
-93.25848981,44.97718301,18,563631,L186,PENDING,ON Sale,1/23/2014,2016,1/1/2016,130196,OLD SPAGHETTI FACTORY,233 Park Ave,NULL,NULL,LIQ ON-SALE E W/SS SERIES 1000,02:50.6,-10381487.6,5617930.134,2.30E+12
-93.26084658,44.97832353,19,563918,L198,APPROVED,ON Sale,8/1/2014,2015,7/1/2015,130477,EAGLEBOLTBAR,515 Washington Ave S,NULL,S,LIQ ON-SALE A W/SS SERIES 3000,56:57.6,-10381749.95,5618109.615,2.30E+12
-93.26121448,44.97837534,20,1474592,L190,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,169243,"CROOKED PINT ALEHOUSE, THE",501 Washington Ave S,NULL,S,LIQ ON-SALE B W/SS SERIES 2000,57:05.8,-10381790.91,5618117.768,2.30E+12
-93.26226278,44.97991937,21,1153974,L180,PENDING,ON Sale,1/23/2014,2016,1/1/2016,133142,RENAISSANCE BY MARRIOTT,225 3rd Ave S,NULL,S,LIQ ON-SALE B W/SS SERIES 1000,57:19.1,-10381907.6,5618360.755,2.30E+12
-93.25987449,44.97780288,22,563822,L196,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,166494,SAWATDEE RESTAURANT,607 Washington Ave S 100,100,S,LIQ ON-SALE E W/SS SERIES 2000,57:05.8,-10381641.74,5618027.68,2.30E+12
-93.25906313,44.97861726,23,1483837,L206,APPROVED,ON Sale,8/1/2014,2015,7/1/2015,169319,ZEN BOX IZAKAYA,602 Washington Ave S,NULL,S,LIQ ON-SALE E W/SS SERIES 3000,56:57.6,-10381551.42,5618155.84,2.30E+12
