lic_no,patron_nm,descr,eff_date,exp_date,descr,work_phn_no,dba_nm,compute_0009,compute_0010,long_descr
20140001998,7 WHITE BEARS LIQUOR LLC,Liquor Off Sale,11/12/2014 00:00:00,11/1/2016 00:00:00,Active            ,6517024137,7 WHITE BEARS LIQUOR,1785 7TH ST E ,"ST PAUL, MN 55119-3418",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
20080003854,T'S DISCOUNT LIQUOR IV INC,Liquor Off Sale,12/7/2008 00:00:00,12/7/2015 00:00:00,Active Pending Ren,6514872710,BIG DISCOUNT LIQUOR,945 RICE ST STE C,"ST PAUL, MN 55117",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
0015788,THE APPLEBAUM COMPANIES INC,Liquor Off Sale,11/22/1996 00:00:00,1/31/2016 00:00:00,Active            ,6516444501,BIG TOP LIQUORS,1574 UNIVERSITY AVE W ,"ST PAUL, MN 55104",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
20150002465,BLAIZE LIQUOR CORPORATION,Liquor Off Sale,8/13/2015 15:01:54,8/12/2016 00:00:00,Pending           ,6512612354,BLAIZE LIQUOR CORPORATION,137 MARYLAND AVE W ,"ST PAUL, MN 55117-4528",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
20040000866,PHANN LIQUOR INC,Liquor Off Sale,5/14/2004 00:00:00,8/29/2016 00:00:00,Active            ,6512988501,CAPITAL WINE & SPIRIT,531 RICE ST ,"ST PAUL, MN 55103-2130",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
0021293,THE AMERICAN DREAM BUILDERS INC,Liquor Off Sale,8/1/1993 00:00:00,8/1/2016 00:00:00,Active            ,6512227818,CHRISTINE LIQUORS,111 CESAR CHAVEZ ST ,"ST PAUL, MN 55107-2226",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
20130000151,SUNRAY LIQUOR 2012 LLC,Liquor Off Sale,6/27/2013 00:00:00,3/31/2016 00:00:00,Active            ,9529228335,CUB LIQUOR,2215 OLD HUDSON ROAD ,"ST PAUL, MN 55119-4404",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
20070004714,MCM INC,Liquor Off Sale,3/3/2008 00:00:00,3/3/2016 00:00:00,Active            ,6512227328,DANNECKER'S GROCERY & LIQUORS,793 RANDOLPH AVE ,"ST PAUL, MN 55102-3415",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
20130000646,411 MINNESOTA STREET LLC,Liquor Off Sale,4/7/2013 00:00:00,4/7/2016 00:00:00,Active            ,,DOUBLETREE BY HILTON SAINT PAUL,411 MINNESOTA ST ,"ST PAUL, MN 55101-1703",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
20120003366,EAST 7TH LIQUOR LLC,Liquor Off Sale,2/7/2013 00:00:00,1/1/2016 00:00:00,Active            ,6512921623,EAST 7TH LIQUOR,385 7TH ST E ,"ST PAUL, MN 55101",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
0018084,JESTPAMA INC,Liquor Off Sale,8/27/1988 00:00:00,4/30/2016 00:00:00,Active            ,6517743731,EAST SIDE LIQUOR STORE,1361 MARYLAND AVE E ,"ST PAUL, MN 55106-2862",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
0063580,FIRST GRAND AVENUE LIQUORS INC,Liquor Off Sale,11/12/1991 00:00:00,1/31/2016 00:00:00,Active            ,6512277039,FIRST GRAND AVENUE LIQUORS,918 GRAND AVE ,"ST PAUL, MN 55105-3007",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
0097163,HASKELL'S INC,Liquor Off Sale,1/31/1995 00:00:00,1/31/2016 00:00:00,Active            ,6516988844,HASKELL'S,2221 FORD PKWY ,"ST PAUL, MN 55116-1800",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
20120000274,HILLCREST LIQUORS INC,Liquor Off Sale,1/12/2012 09:28:23,5/1/2016 00:00:00,Active            ,6517746708,HILLCREST LIQUORS INC,1511 WHITE BEAR AVE N ,"ST PAUL, MN 55106-1605",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
20140003351,INTERNATIONAL SPIRITS INC,Liquor Off Sale,2/9/2015 00:00:00,2/9/2016 00:00:00,Active            ,6123234480,INTERNATIONAL WINES & LIQUOR,710 CLEVELAND AVE S ,"ST PAUL, MN 55116-1319",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
20130005179,KOWALSKI COMPANIES INC,Liquor Off Sale,11/8/2013 11:14:09,11/8/2014 00:00:00,Pending           ,6516984752,KOWALSKI'S GRAND MARKET,1261 GRAND AVE ,"ST PAUL, MN 55105-2603",LC409 Sale of liquor in original packages in retail stores for consumption off or away from the premises where sold.
