lic_no,patron_nm,descr,eff_date,exp_date,descr,work_phn_no,dba_nm,compute_0009,compute_0010,long_descr
20150000849,BIG RIVER PIZZA INC,Wine On Sale ,6/4/2015 00:00:00,5/6/2016 00:00:00,Active            ,6514974202,BIG RIVER PIZZA INC,280 5TH ST E ,"ST PAUL, MN 55101","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
19990003551,REMKE INC,Wine On Sale ,10/25/1999 00:00:00,10/25/2015 00:00:00,Active Pending Ren,6512289274,BLACK DOG COFFEE BAR & CAFE,308 PRINCE ST ,"ST PAUL, MN 55101-1437","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20100005099,BSCFP ST PAUL LLC,Wine On Sale ,3/3/2011 00:00:00,2/1/2016 00:00:00,Active            ,6512274337,BLACK SHEEP PIZZA,512 ROBERT ST N ,"ST PAUL, MN 55101-2246","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20090000863,BRASA 2 LLC,Wine On Sale ,6/12/2009 00:00:00,5/1/2016 00:00:00,Active            ,6123793030,BRASA ROTISSERIE,777 GRAND AVE ,"ST PAUL, MN 55105-3307","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20130003930,CAFE 99 INC,Wine On Sale ,10/9/2013 00:00:00,10/1/2016 00:00:00,Active Pending Ren,6516038899,CAFE 99,1552 COMO AVE ,"ST PAUL, MN 55108-2543","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
0016046,STYLE 2000 INC,Wine On Sale ,1/3/1996 00:00:00,1/31/2016 00:00:00,Active            ,6512921665,CAFE LATTE,850 GRAND AVE ,"ST PAUL, MN 55105-3397","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
0015898,CARBONE'S PIZZA INC,Wine On Sale ,7/21/1997 00:00:00,9/22/2016 00:00:00,Active            ,6517715553,CARBONE'S PIZZA,680 7TH ST E ,"ST PAUL, MN 55106-5003","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20060002197,ALFONSO'S INC,Wine On Sale ,10/2/2006 00:00:00,10/2/2016 00:00:00,Active Pending Ren,6516980721,CARBONE'S PIZZA #4,1698 RANDOLPH AVE ,"ST PAUL, MN 55105-2151","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
19970000021,MARK STEVENS,Wine On Sale ,1/1/1998 00:00:00,3/21/2016 00:00:00,Active            ,6516992448,CARMELOS RISTORANTE,238 SNELLING AVE S ,"ST PAUL, MN 55105-1944","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20050003204,CHATTERBOX ENTERPRISES HIGHLAND INC,Wine On Sale ,4/17/2006 00:00:00,4/1/2016 00:00:00,Active            ,6516991154,CHATTERBOX PUB,800 CLEVELAND AVE S ,"ST PAUL, MN 55116-1957","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
