X,Y,FID,PERMITID,TYPE,DECISION,LIQUOR_TYP,ISSUEDATE,EXPIRE_YEA,EXPIRE_DAT,ESTABLISHM,ESTABLIS_1,ESTABLIS_2,ESTABLIS_3,ESTABLIS_4,TYPE_DESCR,LastUpdate,WGS_X,WGS_Y,APN
-93.233894386688405,44.947101526782774,1,1461529,L313,APPROVED,Off Sale,2014-10-17 00:00:00.000,2015,2015-10-01 00:00:00.000,168471,HARRIET BREWING,3036 Minnehaha Ave,NULL,NULL,"OFF SALE MALT LIQUOR, SERIES 4000",2014-10-09 00:57:21.560,-10378749.6478,5613197.545,102824120042
-93.233771128848261,44.948132148113636,2,562828,L173,APPROVED,Off Sale,2014-10-03 00:00:00.000,2015,2015-10-01 00:00:00.000,129957,MINNEHAHA LAKE WINE & SPIRITS,2613 Lake St E,NULL,E,LIQ OFF-SALE SERIES 4000,2014-09-25 00:57:29.453,-10378735.9268,5613359.6471,102824120097
-93.232577787960224,44.938598173908993,3,1552355,L312,APPROVED,Off Sale,2014-08-01 00:00:00.000,2015,2015-07-01 00:00:00.000,135217,NORTHBOUND SMOKEHOUSE BREWPUB,2716 38th St E,NULL,E,"OFF SALE MALT LIQUOR, SERIES 3000",2014-07-10 00:56:46.390,-10378603.0847,5611860.1994,102824420205
-93.261661940941238,44.948071373273983,4,892677,L171,APPROVED,Off Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,121186,CHICAGO LAKE LIQUORS,825 Lake St E,NULL,E,LIQ OFF-SALE SERIES 2000,2014-04-17 00:56:54.490,-10381840.7178,5613350.088,202824210076
-93.270490679673301,45.02552430968948,5,1566572,L313,APPROVED,Off Sale,2013-10-18 00:00:00.000,2014,2014-10-01 00:00:00.000,171588,NORTHGATE BREWING,3134 California St NE 122,122,NE,"OFF SALE MALT LIQUOR, SERIES 4000",2013-10-10 00:56:17.727,-10382823.5285,5625540.6618,302924410027
-93.288470373846678,45.031038873787104,6,1172495,L173,APPROVED,Off Sale,2014-10-03 00:00:00.000,2015,2015-10-01 00:00:00.000,129961,CAMDEN LIQUORS,4153 Lyndale Ave N,NULL,N,LIQ OFF-SALE SERIES 4000,2014-09-25 00:57:29.453,-10384825.0189,5626409.2459,402924140029
-93.322059788183324,44.947615162877526,7,1360866,L171,APPROVED,Off Sale,2014-05-23 00:00:00.000,2015,2015-04-01 00:00:00.000,165066,M G M WINE & SPIRITS,3058 Excelsior Blvd,NULL,NULL,LIQ OFF-SALE SERIES 2000,2014-05-15 00:56:10.210,-10388564.1754,5613278.3323,502824210244
-93.223565571026327,44.927640712926198,8,1554078,L172,APPROVED,Off Sale,2014-08-01 00:00:00.000,2015,2015-07-01 00:00:00.000,171396,ELEVATED BEER WINE & SPIRITS,4135 Hiawatha Ave,NULL,NULL,LIQ OFF-SALE SERIES 3000,2014-07-10 00:56:46.390,-10377599.8493,5610137.1815,702823230066
-93.328461799142261,44.922957523923365,9,562833,L173,APPROVED,Off Sale,2014-10-03 00:00:00.000,2015,2015-10-01 00:00:00.000,129962,FRANCE 44 WINES & SPIRITS,4351 France Ave S,NULL,S,LIQ OFF-SALE SERIES 4000,2014-09-25 00:57:29.453,-10389276.844,5609400.8686,802824330164
-93.308606775693534,45.013791834174079,10,562844,L173,APPROVED,Off Sale,2014-10-03 00:00:00.000,2015,2015-10-01 00:00:00.000,129973,UNION LIQUOR STORE,3219 Penn Ave N,NULL,N,LIQ OFF-SALE SERIES 4000,2014-09-25 00:57:29.453,-10387066.5929,5623692.9896,802924140158
-93.271211073733937,45.012908489843227,11,562825,L173,APPROVED,Off Sale,2014-11-14 00:00:00.000,2015,2015-10-01 00:00:00.000,129954,RIVER LIQUOR STORE,2435 Marshall St NE,NULL,NE,LIQ OFF-SALE SERIES 4000,2014-11-06 00:57:11.120,-10382903.7224,5623553.8927,1002924410140
-93.247872665684383,45.013559183704892,12,1660330,L312,APPROVED,Off Sale,2014-08-01 00:00:00.000,2015,2015-07-01 00:00:00.000,38190,FAIR STATE BREWING COOPERATIVE,2506 Central Ave NE,NULL,NE,"OFF SALE MALT LIQUOR, SERIES 3000",2014-10-09 00:57:21.560,-10380305.7027,5623656.3548,1102924140050
-93.247866664039975,45.014595206036496,13,1334722,L173,APPROVED,Off Sale,2014-10-03 00:00:00.000,2015,2015-10-01 00:00:00.000,165727,CENTRAL AVENUE LIQUOR,2538 Central Ave NE,NULL,NE,LIQ OFF-SALE SERIES 4000,2014-09-25 00:57:29.453,-10380305.0346,5623819.4954,1102924140230
-93.262726594571575,45.010310194699017,14,1341116,L173,APPROVED,Off Sale,2014-10-17 00:00:00.000,2015,2015-10-01 00:00:00.000,163802,B & G WINE AND LIQUOR,2201 University Ave NE,NULL,NE,LIQ OFF-SALE SERIES 4000,2014-10-09 00:57:21.560,-10381959.2345,5623144.7614,1102924320140
