X,Y,FID,PERMITID,TYPE,DECISION,LIQUOR_TYP,ISSUEDATE,EXPIRE_YEA,EXPIRE_DAT,ESTABLISHM,ESTABLIS_1,ESTABLIS_2,ESTABLIS_3,ESTABLIS_4,TYPE_DESCR,LastUpdate,WGS_X,WGS_Y,APN
-93.254463614805445,44.984497412780946,1,1063174,L192,APPROVED,ON Sale,2014-10-31 00:00:00.000,2015,2015-04-01 00:00:00.000,135845,VICS RESTAURANT,201 Main St SE,NULL,SE,LIQ ON-SALE C-2 W/SS SERIES 2000,2014-10-24 00:57:19.923,-10381039.4038,5619081.2512,2302924130160
-93.257355704930063,44.985871611853767,2,1534252,L235,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,169444,WILDE ROAST CAFE,65 Main St SE 143,143,SE,LIQ ON-SALE C-1 W/SS SERIES 2000,2014-04-17 00:57:05.820,-10381361.3498,5619297.5348,2302924130170
-93.253841214365892,44.984720676084876,3,563846,L196,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,121439,TUGGS ON THE RIVER,219 Main St SE,NULL,SE,LIQ ON-SALE E W/SS SERIES 2000,2014-04-17 00:57:05.820,-10380970.1185,5619116.39,2302924130620
-93.253841214365892,44.984720676084876,4,563846,L196,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,130405,TUGGS ON THE RIVER,219 Main St SE,NULL,SE,LIQ ON-SALE E W/SS SERIES 2000,2014-04-17 00:57:05.820,-10380970.1185,5619116.39,2302924130620
-93.256717141103593,44.987488942253663,5,1211800,L247,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,147045,PUNCH NEAPOLITAN PIZZA,208 Hennepin Ave E,NULL,E,WINE E W/STRONG BEER,2014-04-17 00:57:05.820,-10381290.2652,5619552.0912,2302924130950
-93.256717141103593,44.987488942253663,6,1345664,L186,PENDING,ON Sale,2014-01-23 00:00:00.000,2016,2016-01-01 00:00:00.000,146434,RACHELS,222 Hennepin Ave E,NULL,E,LIQ ON-SALE E W/SS SERIES 1000,2014-12-04 01:02:50.603,-10381290.2652,5619552.0912,2302924130950
-93.256717141103593,44.987488942253663,7,1345664,L186,PENDING,ON Sale,2014-01-23 00:00:00.000,2016,2016-01-01 00:00:00.000,167256,RACHELS,222 Hennepin Ave E,NULL,E,LIQ ON-SALE E W/SS SERIES 1000,2014-12-04 01:02:50.603,-10381290.2652,5619552.0912,2302924130950
-93.257686020849917,44.987806040055069,8,1370674,L180,PENDING,ON Sale,2014-01-23 00:00:00.000,2016,2016-01-01 00:00:00.000,165406,GINGER HOP REST. & HONEY AT GINGER HOP,201 Hennepin Ave E,NULL,E,LIQ ON-SALE B W/SS SERIES 1000,2014-11-21 00:56:49.010,-10381398.1204,5619602.001,2302924210030
-93.261211711609036,44.990685716797827,9,1119575,L210,APPROVED,ON Sale,2014-10-03 00:00:00.000,2015,2015-10-01 00:00:00.000,130691,UKRAINIAN AMERICAN COMMUNITY CENTER,301 Main St NE,NULL,NE,LIQ ON-SALE B W/SS SERIES 4000,2014-09-25 00:57:40.890,-10381790.5985,5620055.2621,2302924210090
-93.257714216271737,44.9885212937426,10,1621547,L247,APPROVED,ON Sale,2014-05-23 00:00:00.000,2015,2015-04-01 00:00:00.000,173008,JL BEERS,24 University Ave NE,NULL,NE,WINE E W/STRONG BEER,2014-05-15 00:56:21.477,-10381401.2591,5619714.5798,2302924210470
-93.267477105881241,44.984713855977816,11,563616,L186,PENDING,ON Sale,2014-04-25 00:00:00.000,2016,2016-01-01 00:00:00.000,130181,ORIGAMI,30 1st St N 1ST FLOOR,1ST FLOOR,N,LIQ ON-SALE E W/SS SERIES 1000,2014-12-03 01:03:31.910,-10382488.059,5619115.3166,2302924230020
-93.260843426597063,44.98597419912663,12,1501209,L210,APPROVED,ON Sale,2014-10-03 00:00:00.000,2015,2015-10-01 00:00:00.000,124537,NICOLLET ISLAND INN,95 Merriam St,NULL,NULL,LIQ ON-SALE B W/SS SERIES 4000,2014-09-25 00:57:40.890,-10381749.6012,5619313.6811,2302924240090
-93.257922513128236,44.986150780096956,13,1638698,L190,APPROVED,ON Sale,2014-04-11 00:00:00.000,2015,2015-04-01 00:00:00.000,173583,MATTIES ON MAIN,43 Main St SE,144,SE,LIQ ON-SALE B W/SS SERIES 2000,2014-04-03 00:57:03.023,-10381424.4466,5619341.4734,2302924240090
-93.25798316018971,44.98710939313365,14,563584,L180,PENDING,ON Sale,2014-01-23 00:00:00.000,2016,2016-01-01 00:00:00.000,130149,NYES POLONAISE ROOM,112 Hennepin Ave E,NULL,E,LIQ ON-SALE B W/SS SERIES 1000,2014-12-05 01:03:05.537,-10381431.1978,5619492.3522,2302924240110
-93.264415489289476,44.979053253944549,15,563497,L178,PENDING,ON Sale,2014-01-23 00:00:00.000,2016,2016-01-01 00:00:00.000,130063,RICKS CABARET,300 3rd St S,NULL,S,LIQ ON-SALE A W/SS SERIES 1000,2014-12-02 01:02:53.443,-10382147.2414,5618224.4523,2302924330030
-93.26683454455177,44.978143339051336,16,1593655,L188,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,172628,HOTEL MINNEAPOLIS,215 4th St S,NULL,S,LIQ ON-SALE A W/SS SERIES 2000,2014-04-17 00:57:05.820,-10382416.5294,5618081.2583,2302924330780
-93.262942256715093,44.977579415108465,17,1622451,L216,APPROVED,ON Sale,2014-10-03 00:00:00.000,2015,2015-10-01 00:00:00.000,173315,DINOKOS BARZIA,420 4th St S,NULL,S,LIQ ON-SALE E W/SS SERIES 4000,2014-09-25 00:57:40.890,-10381983.2419,5617992.5143,2302924330870
-93.258489810009962,44.977183014764847,18,563631,L186,PENDING,ON Sale,2014-01-23 00:00:00.000,2016,2016-01-01 00:00:00.000,130196,OLD SPAGHETTI FACTORY,233 Park Ave,NULL,NULL,LIQ ON-SALE E W/SS SERIES 1000,2014-12-04 01:02:50.603,-10381487.5978,5617930.1338,2302924340020
-93.260846580582026,44.97832352995912,19,563918,L198,APPROVED,ON Sale,2014-08-01 00:00:00.000,2015,2015-07-01 00:00:00.000,130477,EAGLEBOLTBAR,515 Washington Ave S,NULL,S,LIQ ON-SALE A W/SS SERIES 3000,2014-07-10 00:56:57.643,-10381749.9523,5618109.6149,2302924340040
-93.261214482911683,44.978375335868208,20,1474592,L190,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,169243,"CROOKED PINT ALEHOUSE, THE",501 Washington Ave S,NULL,S,LIQ ON-SALE B W/SS SERIES 2000,2014-04-17 00:57:05.820,-10381790.907,5618117.7676,2302924340070
