lic_no,patron_nm,descr,eff_date,exp_date,descr,work_phn_no,dba_nm,compute_0009,compute_0010,long_descr
20140003751,EAST SIDE INDUSTRIES INC,Liquor On Sale - 100 seats or less,2/22/2015 00:00:00,2/22/2016 00:00:00,Pending           ,,7TH STREET SALOON,1179 7TH ST E ,"ST PAUL, MN 55106-4013",LC409 The sale of liquor by the glass for consumption on the premises only where the establishment has 100 seats or less.
0016204,BRAM CORPORATION,Liquor On Sale - 100 seats or less,12/27/1993 00:00:00,2/29/2016 00:00:00,Active            ,6517749207,ARCADE BAR,932 ARCADE ST ,"ST PAUL, MN 55106-3851",LC409 The sale of liquor by the glass for consumption on the premises only where the establishment has 100 seats or less.
20110001529,BARRIO HOLDINGS LLC,Liquor On Sale - 100 seats or less,6/1/2011 00:00:00,7/1/2016 00:00:00,Active            ,6512223250,BARRIO TEQUILA BAR,235 6TH ST E ,"ST PAUL, MN 55114-1717",LC409 The sale of liquor by the glass for consumption on the premises only where the establishment has 100 seats or less.
20100000617,L & E OF ST PAUL INC,Liquor On Sale - 100 seats or less,7/27/2010 00:00:00,7/26/2016 00:00:00,Active            ,6513289014,BAY STREET GRILL AND BAR,731 RANDOLPH AVE ,"ST PAUL, MN 55102-3413",LC409 The sale of liquor by the glass for consumption on the premises only where the establishment has 100 seats or less.
0068396,RENTIEL INC,Liquor On Sale - 100 seats or less,2/15/1989 00:00:00,4/30/2016 00:00:00,Active            ,6512930608,BILLY'S VICTORIAN BAR,859 THOMAS AVE ,"ST PAUL, MN 55104-2750",LC409 The sale of liquor by the glass for consumption on the premises only where the establishment has 100 seats or less.
0016222,B H & M INC,Liquor On Sale - 100 seats or less,7/19/1996 00:00:00,4/30/2016 00:00:00,Active            ,6514885694,BORN'S DUTCH BAR,899 RICE ST ,"ST PAUL, MN 55117-5424",LC409 The sale of liquor by the glass for consumption on the premises only where the establishment has 100 seats or less.
20020000516,BIAGGIO INC,Liquor On Sale - 100 seats or less,6/25/2007 00:00:00,6/14/2016 00:00:00,Active            ,6519177997,CAFFE BIAGGIO,2356 UNIVERSITY AVE W ,"ST PAUL, MN 55114-1802",LC409 The sale of liquor by the glass for consumption on the premises only where the establishment has 100 seats or less.
20000003253,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Liquor On Sale - 100 seats or less,1/17/2009 00:00:00,9/30/2016 00:00:00,Active            ,6516991000,CHIPOTLE MEXICAN GRILL #128,29 5TH ST W ,"ST PAUL, MN 55102-1402",LC409 The sale of liquor by the glass for consumption on the premises only where the establishment has 100 seats or less.
19990001983,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Liquor On Sale - 100 seats or less,2/6/2000 00:00:00,6/4/2016 00:00:00,Active Pending Ren,6516991000,CHIPOTLE MEXICAN GRILL #128,2082 FORD PKWY ,"ST PAUL, MN 55116",LC409 The sale of liquor by the glass for consumption on the premises only where the establishment has 100 seats or less.
0016395,V & J LIQUORS INC,Liquor On Sale - 100 seats or less,12/27/1993 00:00:00,2/29/2016 00:00:00,Active            ,6516458472,CHRISTENSEN'S BAR,1567 UNIVERSITY AVE W ,"ST PAUL, MN 55104-3903",LC409 The sale of liquor by the glass for consumption on the premises only where the establishment has 100 seats or less.
20080000697,COOKS OF CROCUS HILL LLC,Liquor On Sale - 100 seats or less,6/6/2008 00:00:00,6/6/2016 00:00:00,Active            ,6512281333,COOKS OF CROCUS HILL LLC,877 GRAND AVE ,"ST PAUL, MN 55105-3008",LC409 The sale of liquor by the glass for consumption on the premises only where the establishment has 100 seats or less.
0015931,COZY BAR OF ST PAUL MN INC,Liquor On Sale - 100 seats or less,1/19/1994 00:00:00,3/31/2016 00:00:00,Active            ,6512240640,COZY CANTINA,202 CESAR CHAVEZ ST ,"ST PAUL, MN 55107-2310",LC409 The sale of liquor by the glass for consumption on the premises only where the establishment has 100 seats or less.
20110004770,DAMERA ETHIOPIAN BAR & RESTAURANT LLC,Liquor On Sale - 100 seats or less,4/10/2013 00:00:00,4/10/2016 00:00:00,Active            ,,DAMERA,823 UNIVERSITY AVE W ,"ST PAUL, MN 55104-4808",LC409 The sale of liquor by the glass for consumption on the premises only where the establishment has 100 seats or less.
0015999,SCANLON'S PUB INC,Liquor On Sale - 100 seats or less,3/10/1993 00:00:00,3/31/2016 00:00:00,Active            ,6516465551,DUBLINER PUB,2162 UNIVERSITY AVE W ,"ST PAUL, MN 55114-1820",LC409 The sale of liquor by the glass for consumption on the premises only where the establishment has 100 seats or less.
20080004592,EL ALAMO LLC,Liquor On Sale - 100 seats or less,3/10/2009 00:00:00,3/1/2016 00:00:00,Active            ,6512244443,EL ALAMO,429 ROBERT ST S ,"ST PAUL, MN 55107-2217",LC409 The sale of liquor by the glass for consumption on the premises only where the establishment has 100 seats or less.
20070005077,GOLDEN'S DELI INC,Liquor On Sale - 100 seats or less,1/4/2012 00:00:00,3/31/2016 00:00:00,Active            ,6512248888,GOLDEN'S DELI,275 4TH ST E ,"ST PAUL, MN 55101-1696",LC409 The sale of liquor by the glass for consumption on the premises only where the establishment has 100 seats or less.
