X,Y,Name,Address 1,Address 2,City,State,ZIP,Website
-93.28888028,44.9733473,Sisyphus Brewing,712 Ontario Ave,Suite 100,Minneapolis,MN,,http://www.sisyphusbrewing.com/
-93.28850892,44.94889873,Lynlake Brewery,2934 Lyndale Ave S,,Minneapolis,MN,,http://www.lynlakebrewery.com/
-93.28133402,44.99987253,Boom Island Brewing,2014 Washington Ave N,Suite 300,Minneapolis,MN,,http://boomislandbrewing.com/
-93.27912321,44.98493736,Fulton,414 6th Ave N,,Minneapolis,MN,,http://fultonbeer.com/
-93.26639125,45.00111671,Dangerous Man,1300 2nd St NE,,Minneapolis,MN,,http://dangerousmanbrewing.com/
-93.26075482,44.94930973,Eastlake Craft Brewery,920 Lake St E,Suite 107,Minneapolis,MN,,http://www.eastlakemgm.com/
-93.25314358,44.9749704,Day Block Brewing,1105 Washington Ave S,,Minneapolis,MN,,https://www.dayblockbrewing.com/
-93.24787267,45.01355918,Fair State Brewing Cooperative,2506 Central Ave NE,,Minneapolis,MN,,https://fairstate.coop/
-93.2477956,44.97339892,Town Hall Brewery,1430 Washington Ave S,,Minneapolis,MN,,http://www.townhallbrewery.com/
-93.24669246,44.99909078,612Brew,945 Broadway St NE,,Minneapolis,MN,,http://www.612brew.com/
-93.24506438,45.00094775,Bauhaus Brew Labs,1315 Tyler St NE,,Minneapolis,MN,,http://bauhausbrewlabs.com/
-93.24409551,45.00448325,Sociable Cider Werks,1500 Fillmore St NE,Suite 100,Minneapolis,MN,,http://sociablecider.com/
-93.23434893,44.94501376,Du Nord Craft Spirits,2610 32nd St E,,Minneapolis,MN,,http://dunordcraftspirits.com/
-93.23389439,44.94710153,Harriet Brewing,3036 Minnehaha Ave,,Minneapolis,MN,,http://harrietbrewing.com/
-93.23257779,44.93859817,Northbound Smokehouse,2716 38th St E,,Minneapolis,MN,,http://northboundbrewpub.com/
-93.22108965,44.99819937,Northgate Brewing,783 Harding St NE,Suite 100,Minneapolis,MN,,http://www.northgatebrew.com/
-93.21295046,44.99193296,Insight Brewing,2821 Hennepin Ave E,,Minneapolis,MN,,http://www.insightbrewing.com/
-93.20940833,44.97286474,Surly Brewing,520 Malcolm Ave SE,,Minneapolis,MN,,http://surlybrewing.com/
-93.1101995,44.9389351,Bad Weather Brewery,414 7TH ST W ,,St. Paul,MN,55102-2733,http://www.badweatherbrewery.com/
-93.1925768,44.9704882,Bang Brewing Company,2320 CAPP ROAD ,,St. Paul,MN,55114,http://bangbrewing.com/
-93.1461962,44.9819887,Como Dockside,1360 LEXINGTON PKWY N ,,St. Paul,MN,55103-1060,http://www.comodockside.com/
-93.0968155,44.9467327,Great Waters,426 ST PETER ST ,,St. Paul,MN,55102-1105,http://www.restaurantstpaulmn.com/menu/
-93.0891516,44.952861,Tin Whiskers,125 9TH ST E,Unit 127,St. Paul,MN,55101-2246,http://twbrewing.com/
-93.1925645,44.9701614,Urban Growler,2325 ENDICOTT ST,Unit 11,St. Paul,MN,55114,http://www.urbangrowlerbrewing.com/
93.0848121,44.9329398,Wabasha Brewing,429 WABASHA ST S ,,St. Paul,MN,55107-1126,http://www.wabashabrewing.com/
